Player,ID,Country,Role,Player Image
Kusal Perera,300631,SriLanka,WICKET KEEPER,
Thisara Perera,233514,SriLanka,PLAYER,
Isuru Udana,328026,SriLanka,PLAYER,
Jeffrey Vandersay,370040,SriLanka,PLAYER,
Jeevan Mendis,49700,SriLanka,PLAYER,https://media.gettyimages.com/id/1151868095/photo/southampton-england-jeevan-mendis-of-sri-lanka-poses-for-a-portrait-prior-to-the-icc-cricket.jpg?s=612x612&w=0&k=20&c=g9xBICrg4ViXD29erYSqOHrHTUKE7pxIFdFoGsa4xUw=
Milinda Siriwardana,222354,SriLanka,PLAYER,
Lasith Malinga,49758,SriLanka,PLAYER,https://media.gettyimages.com/id/479203005/photo/dhaka-bangladesh-%C3%B0-march-17-lasith-malinga-of-sri-lanka-at-the-headshot-session-at-the-pan.jpg?s=612x612&w=0&k=20&c=29mj40vwhesG2GtJPA9LWUfToOf6GqEdpL1Dz0s38dY=
Suranga Lakmal,46919,SriLanka,PLAYER,
Nuwan Pradeep,324358,SriLanka,PLAYER,
Jason Holder,391485,WestIndies,CAPTAIN,
Chris Gayle,51880,WestIndies,VICE CAPTAIN,
Carlos Brathwaite,457249,WestIndies,PLAYER,
Darren Bravo,277472,WestIndies,PLAYER,
Sheldon Cottrell,495551,WestIndies,PLAYER,
Fabian Allen,670013,WestIndies,PLAYER,https://media.gettyimages.com/id/1231616368/photo/fabian-allen-of-west-indies-poses-for-a-portrait-at-pineapple-beach-club-in-long-bay-st.jpg?s=612x612&w=0&k=20&c=sBOP1HiokC3dP7AHdAH56r2B-nchkI4mgfXHpvgHaVo=
Shannon Gabriel,446101,WestIndies,PLAYER,
Shimron Hetmyer,670025,WestIndies,PLAYER,
Shai Hope,581379,WestIndies,PLAYER,
Evin Lewis,431901,WestIndies,PLAYER,
Ashley Nurse,315594,WestIndies,PLAYER,
Nicholas Pooran,604302,WestIndies,WICKET KEEPER,
Kemar Roach,230553,WestIndies,PLAYER,
Andre Russell,276298,WestIndies,PLAYER,https://media.gettyimages.com/id/1358913120/photo/melbourne-australia-andre-russell-of-the-stars-poses-during-the-melbourne-stars-big-bash.jpg?s=612x612&w=0&k=20&c=w2V_yzLW-B3K2jt0XMQCnen0FqxvGBZ9VxvjCy9FG1g=
Oshane Thomas,914567,WestIndies,PLAYER,https://media.gettyimages.com/id/1347317762/photo/dubai-united-arab-emirates-oshane-thomas-of-west-indies-poses-for-a-headshot-prior-to-the-icc.jpg?s=612x612&w=0&k=20&c=bH1UdNfvx1fcJAfYUF6ODje00Jt0a-zMkz8fYnvJv8w=
